Date,Total Aircraft Arrivals And Departures ,Total Aircraft Arrivals And Departures -> Aircraft Arrivals ,Total Aircraft Arrivals And Departures -> Aircraft Departures ,Total Passengers,Total Passengers Arriving,Total Passengers Departing,Total Passengers In Transit,Total Air Cargo Tonnage ,Total Air Cargo Tonnage -> Imports Of Air Cargo Tonnage ,Total Air Cargo Tonnage -> Exports Of Air Cargo Tonnage ,Total Direct Tonnage ,Total Direct Tonnage -> Imports Of Direct Tonnage ,Total Direct Tonnage -> Exports Of Direct Tonnage ,Total Transhipment Tonnage ,Total Transhipment Tonnage -> Imports Of Transhipment Tonnage ,Total Transhipment Tonnage -> Exports Of Transhipment Tonnage ,Total Mail ,Total Mail -> In-Coming Mail ,Total Mail -> Out-Going Mail 
  1989 Apr,7190,3588,3602,1089718,493376,505403,90939,na,na,na,na,na,na,na,na,na,799,386,413
  1989 Mar,7145,3573,3572,1160644,531121,538332,91191,na,na,na,na,na,na,na,na,na,773,368,405
  1989 Feb,6516,3256,3260,1050398,479227,488700,82471,na,na,na,na,na,na,na,na,na,671,296,375
  1989 Jan,6952,3481,3471,1107283,503277,506179,97827,na,na,na,na,na,na,na,na,na,764,331,433
  1988 Dec,7133,3565,3568,1216461,575657,543700,97104,na,na,na,na,na,na,na,na,na,1178,529,649
  1988 Nov,7069,3533,3536,1100585,490338,516054,94193,na,na,na,na,na,na,na,na,na,874,405,469
  1988 Oct,7048,3528,3520,1056306,478253,480302,97751,na,na,na,na,na,na,na,na,na,828,394,434
  1988 Sep,6792,3402,3390,1036348,459639,477259,99450,na,na,na,na,na,na,na,na,na,741,348,393
  1988 Aug,7240,3621,3619,1137586,503542,512148,121896,na,na,na,na,na,na,na,na,na,732,343,389
  1988 Jul,7147,3565,3582,1106853,492727,495765,118361,na,na,na,na,na,na,na,na,na,781,383,398
  1988 Jun,6856,3431,3425,1057159,489884,468964,98311,na,na,na,na,na,na,na,na,na,707,344,363
  1988 May,6975,3489,3486,968082,432584,450760,84738,na,na,na,na,na,na,na,na,na,679,337,342
  1988 Apr,6698,3351,3347,978738,441331,446776,90631,na,na,na,na,na,na,na,na,na,721,324,397
  1988 Mar,6727,3357,3370,1020237,460889,464304,95044,na,na,na,na,na,na,na,na,na,759,328,431
  1988 Feb,6516,3264,3252,947520,427020,432329,88171,na,na,na,na,na,na,na,na,na,675,302,373
  1988 Jan,6729,3361,3368,969411,434586,431635,103190,na,na,na,na,na,na,na,na,na,786,322,464
  1987 Dec,6886,3441,3445,1080560,503080,471636,105844,na,na,na,na,na,na,na,na,na,1044,441,603
  1987 Nov,6392,3199,3193,942284,413716,434099,94469,na,na,na,na,na,na,na,na,na,836,364,472
  1987 Oct,6464,3234,3230,936870,418928,421329,96613,na,na,na,na,na,na,na,na,na,811,359,452
  1987 Sep,6320,3157,3163,928063,409104,413059,105900,na,na,na,na,na,na,na,na,na,742,323,419
  1987 Aug,6763,3382,3381,1045218,462816,461302,121100,na,na,na,na,na,na,na,na,na,756,334,422
  1987 Jul,6508,3256,3252,1006201,439286,441798,125117,na,na,na,na,na,na,na,na,na,820,385,435
  1987 Jun,6288,3142,3146,962928,444972,429645,88311,na,na,na,na,na,na,na,na,na,756,333,423
  1987 May,6422,3206,3216,880365,393555,404460,82350,na,na,na,na,na,na,na,na,na,828,363,465
  1987 Apr,6113,3055,3058,853540,384072,388946,80522,na,na,na,na,na,na,na,na,na,807,348,459
  1987 Mar,6340,3172,3168,874058,389745,395166,89147,na,na,na,na,na,na,na,na,na,780,346,434
  1987 Feb,5619,2810,2809,808397,370152,361511,76734,na,na,na,na,na,na,na,na,na,678,301,377
  1987 Jan,6161,3077,3084,885309,387737,404650,92922,na,na,na,na,na,na,na,na,na,701,311,390
  1986 Dec,6115,3056,3059,952247,438663,417321,96263,na,na,na,na,na,na,na,na,na,1031,434,597
  1986 Nov,5863,2928,2935,846396,369299,387711,89386,na,na,na,na,na,na,na,na,na,808,360,448
  1986 Oct,6039,3023,3016,825774,372229,368762,84783,na,na,na,na,na,na,na,na,na,800,346,454
  1986 Sep,6003,3002,3001,837989,366205,376641,95143,na,na,na,na,na,na,na,na,na,728,317,411
  1986 Aug,6358,3180,3178,928049,405325,411537,111187,na,na,na,na,na,na,na,na,na,773,357,416
  1986 Jul,6247,3123,3124,874633,374864,375483,124286,na,na,na,na,na,na,na,na,na,828,372,456
  1986 Jun,6049,3029,3020,872208,397467,384605,90136,na,na,na,na,na,na,na,na,na,763,342,421
  1986 May,6268,3130,3138,772100,343197,347740,81163,na,na,na,na,na,na,na,na,na,909,406,503
  1986 Apr,6045,3019,3026,773449,339869,346617,86963,na,na,na,na,na,na,na,na,na,835,378,457
  1986 Mar,6212,3110,3102,806335,350807,360529,94999,na,na,na,na,na,na,na,na,na,914,407,507
  1986 Feb,5696,2850,2846,771454,335961,352936,82557,na,na,na,na,na,na,na,na,na,705,316,389
  1986 Jan,6127,3065,3062,807085,351690,359810,95585,na,na,na,na,na,na,na,na,na,855,387,468
  1985 Dec,6195,3099,3096,928211,421099,402333,104779,na,na,na,na,na,na,na,na,na,1119,476,643
  1985 Nov,5932,2969,2963,803441,347526,365469,90446,na,na,na,na,na,na,na,na,na,918,401,517
  1985 Oct,6137,3067,3070,790129,348699,352006,89424,na,na,na,na,na,na,na,na,na,881,398,483
  1985 Sep,6139,3072,3067,798452,346416,357356,94680,na,na,na,na,na,na,na,na,na,832,388,444
  1985 Aug,6374,3178,3196,907057,386580,398953,121524,na,na,na,na,na,na,na,na,na,882,394,488
  1985 Jul,6147,3075,3072,836088,368822,364918,102348,na,na,na,na,na,na,na,na,na,845,399,446
  1985 Jun,6104,3046,3058,877773,394034,390928,92811,na,na,na,na,na,na,na,na,na,827,389,438
  1985 May,6157,3078,3079,775913,340648,350887,84378,na,na,na,na,na,na,na,na,na,942,425,517
  1985 Apr,6061,3034,3027,784903,344261,356582,84060,na,na,na,na,na,na,na,na,na,844,375,469
  1985 Mar,6181,3085,3096,834356,363037,374569,96750,na,na,na,na,na,na,na,na,na,837,372,465
  1985 Feb,5688,2845,2843,751999,327810,343067,81122,na,na,na,na,na,na,na,na,na,762,346,416
  1985 Jan,6108,3052,3056,768508,334655,340840,93013,na,na,na,na,na,na,na,na,na,763,348,415
  1984 Dec,6187,3093,3094,900044,406556,392996,100492,na,na,na,na,na,na,na,na,na,997,467,530
  1984 Nov,5925,2961,2964,790133,344060,364580,81493,na,na,na,na,na,na,na,na,na,831,384,447
  1984 Oct,5988,2995,2993,787115,352784,351392,82939,na,na,na,na,na,na,na,na,na,786,351,435
  1984 Sep,5902,2948,2954,790793,345375,354815,90603,na,na,na,na,na,na,na,na,na,723,333,390
  1984 Aug,6112,3050,3062,880911,374408,387662,118841,na,na,na,na,na,na,na,na,na,750,346,404
  1984 Jul,5998,3002,2996,810193,356897,358759,94537,na,na,na,na,na,na,na,na,na,762,350,412
  1984 Jun,5875,2934,2941,803912,369957,348995,84960,na,na,na,na,na,na,na,na,na,758,338,420
  1984 May,5932,2966,2966,779161,339986,358059,81116,na,na,na,na,na,na,na,na,na,749,343,406
  1984 Apr,5702,2853,2849,762504,338332,343985,80187,na,na,na,na,na,na,na,na,na,724,339,385
  1984 Mar,5795,2894,2901,720520,322277,322451,75792,na,na,na,na,na,na,na,na,na,770,361,409
  1984 Feb,5512,2753,2759,706296,314134,313342,78820,na,na,na,na,na,na,na,na,na,650,312,338
  1984 Jan,5746,2878,2868,734069,315986,324081,94002,na,na,na,na,na,na,na,na,na,786,384,402
  1983 Dec,5794,2896,2898,830123,377274,362872,89977,na,na,na,na,na,na,na,na,na,1043,482,561
  1983 Nov,5556,2774,2782,724244,314848,331275,78121,na,na,na,na,na,na,na,na,na,776,365,411
  1983 Oct,5815,2906,2909,716388,320816,318194,77378,na,na,na,na,na,na,na,na,na,813,394,419
  1983 Sep,5674,2840,2834,723604,310620,322576,90408,na,na,na,na,na,na,na,na,na,787,388,399
  1983 Aug,5828,2915,2913,795479,340724,347292,107463,na,na,na,na,na,na,na,na,na,732,346,386
  1983 Jul,5658,2822,2836,742363,328601,324985,88777,na,na,na,na,na,na,na,na,na,747,359,388
  1983 Jun,5498,2749,2749,737906,338558,323149,76199,na,na,na,na,na,na,na,na,na,732,342,390
  1983 May,5685,2839,2846,701404,308903,316637,75864,na,na,na,na,na,na,na,na,na,722,355,367
  1983 Apr,5484,2741,2743,667350,292871,302653,71826,na,na,na,na,na,na,na,na,na,713,345,368
  1983 Mar,5649,2823,2826,697684,307881,312900,76903,na,na,na,na,na,na,na,na,na,723,343,380
  1983 Feb,5282,2635,2647,655858,288663,291979,75216,na,na,na,na,na,na,na,na,na,593,291,302
  1983 Jan,5671,2836,2835,686749,300961,301092,84696,na,na,na,na,na,na,na,na,na,649,312,337
  1982 Dec,5765,2880,2885,781862,356712,340929,84221,na,na,na,na,na,na,na,na,na,920,437,483
  1982 Nov,5457,2730,2727,731550,323149,333171,75230,na,na,na,na,na,na,na,na,na,733,352,381
  1982 Oct,5754,2882,2872,707962,315451,313689,78822,na,na,na,na,na,na,na,na,na,723,337,386
  1982 Sep,5641,2817,2824,700226,295237,302663,102326,na,na,na,na,na,na,na,na,na,660,320,340
  1982 Aug,5777,2890,2887,794148,346210,352457,95481,na,na,na,na,na,na,na,na,na,650,315,335
  1982 Jul,5738,2864,2874,762582,338064,332958,91560,na,na,na,na,na,na,na,na,na,696,340,356
  1982 Jun,5545,2768,2777,731708,335718,316120,79870,na,na,na,na,na,na,na,na,na,675,331,344
  1982 May,5590,2798,2792,675233,294788,303051,77394,na,na,na,na,na,na,na,na,na,686,340,346
  1982 Apr,5638,2817,2821,667589,291148,293002,83439,na,na,na,na,na,na,na,na,na,659,327,332
  1982 Mar,5921,2959,2962,693735,298032,303970,91733,na,na,na,na,na,na,na,na,na,704,330,374
  1982 Feb,5375,2684,2691,636075,277433,277439,81203,na,na,na,na,na,na,na,na,na,607,307,300
  1982 Jan,5958,2979,2979,729142,315469,321696,91977,na,na,na,na,na,na,na,na,na,616,307,309
  1981 Dec,6022,3007,3015,773043,350941,332421,89681,na,na,na,na,na,na,na,na,na,890,417,473
  1981 Nov,5755,2874,2881,716405,314739,318522,83144,na,na,na,na,na,na,na,na,na,711,353,358
  1981 Oct,5944,2969,2975,688913,307745,300799,80369,na,na,na,na,na,na,na,na,na,717,367,350
  1981 Sep,5849,2923,2926,665399,289059,293905,82435,na,na,na,na,na,na,na,na,na,689,349,340
  1981 Aug,6069,3031,3038,774005,344177,345296,84532,na,na,na,na,na,na,na,na,na,666,338,328
  1981 Jul,6009,3002,3007,706279,318493,308379,79407,na,na,na,na,na,na,na,na,na,752,374,378
  1981 Jun,5757,2875,2882,674922,311813,294470,68639,na,na,na,na,na,na,na,na,na,665,346,319
  1981 May,5872,2938,2934,627592,274595,282975,70022,na,na,na,na,na,na,na,na,na,704,361,343
  1981 Apr,5752,2871,2881,629547,275944,278169,75434,na,na,na,na,na,na,na,na,na,667,339,328
  1981 Mar,6258,3127,3131,645765,272334,275807,97624,na,na,na,na,na,na,na,na,na,760,385,375
  1981 Feb,5784,2891,2893,619577,265569,268209,85799,na,na,na,na,na,na,na,na,na,629,324,305
  1981 Jan,6294,3144,3150,630711,271695,279156,79860,na,na,na,na,na,na,na,na,na,685,338,347
  1980 Dec,6461,3232,3229,693500,316631,291865,85004,na,na,na,na,na,na,na,na,na,872,427,445
  1980 Nov,6326,3162,3164,640824,275384,281055,84385,na,na,na,na,na,na,na,na,na,728,354,374
  1980 Oct,6461,3230,3231,611995,267687,265013,79295,na,na,na,na,na,na,na,na,na,716,349,367
  1980 Sep,6245,3121,3124,585076,250091,252745,82240,na,na,na,na,na,na,na,na,na,653,324,329
  1980 Aug,6553,3267,3286,684907,298606,301484,84817,na,na,na,na,na,na,na,na,na,640,319,321
  1980 Jul,6279,3137,3142,618380,271505,267734,79141,na,na,na,na,na,na,na,na,na,668,329,339
  1980 Jun,6094,3047,3047,594860,264753,253752,76355,na,na,na,na,na,na,na,na,na,633,320,313
  1980 May,6301,3147,3154,587003,246876,257562,82565,na,na,na,na,na,na,na,na,na,646,322,324
  1980 Apr,6247,3120,3127,561218,240343,246241,74634,na,na,na,na,na,na,na,na,na,642,320,322
  1980 Mar,6391,3196,3195,597644,246262,254054,97328,na,na,na,na,na,na,na,na,na,642,320,322
  1980 Feb,6112,3052,3060,552263,227555,234846,89862,na,na,na,na,na,na,na,na,na,593,291,302
  1980 Jan,6501,3245,3256,566879,235030,244681,87168,na,na,na,na,na,na,na,na,na,619,301,318
